,id,relid,year,type_of_violence,country,country_id,fatality_best_estimate,gwnoa,gwnob,conflict_event,iso
357,503441,DRC-2023-3-934-70,2023,3,DR Congo (Zaire),490,1,490.0,,2023-10-30 00:00:00.000,COD
358,503440,DRC-2023-3-934-69,2023,3,DR Congo (Zaire),490,1,490.0,,2023-11-12 00:00:00.000,COD
359,502857,AFG-2023-3-973-416,2023,3,DR Congo (Zaire),490,26,,,2023-09-21 00:00:00.000,COD
360,499579,AFG-2023-3-973-393.1,2023,3,DR Congo (Zaire),490,2,,,2023-11-05 00:00:00.000,COD
361,499587,AFG-2023-3-973-393.2,2023,3,DR Congo (Zaire),490,4,,,2023-11-05 00:00:00.000,COD
362,499588,AFG-2023-3-973-393.3,2023,3,DR Congo (Zaire),490,5,,,2023-11-05 00:00:00.000,COD
363,499576,AFG-2023-3-973-392,2023,3,DR Congo (Zaire),490,6,,,2023-11-06 00:00:00.000,COD
364,501140,AFG-2023-3-973-395,2023,3,DR Congo (Zaire),490,1,,,2023-11-10 00:00:00.000,COD
365,501143,AFG-2023-3-973-396.1,2023,3,DR Congo (Zaire),490,42,,,2023-11-12 00:00:00.000,COD
366,501152,AFG-2023-3-973-397,2023,3,DR Congo (Zaire),490,4,,,2023-11-12 00:00:00.000,COD
367,502510,AFG-2023-3-973-414,2023,3,DR Congo (Zaire),490,21,,,2023-11-23 00:00:00.000,COD
368,503442,AFG-2023-3-973-421,2023,3,DR Congo (Zaire),490,8,,,2023-11-27 00:00:00.000,COD
369,499573,DRC-2023-3-2434-19,2023,3,DR Congo (Zaire),490,15,,,2023-11-04 00:00:00.000,COD
370,501944,DRC-2023-3-2434-20,2023,3,DR Congo (Zaire),490,16,,,2023-11-21 00:00:00.000,COD
371,499213,DRC-2023-1-11982-39,2023,1,DR Congo (Zaire),490,2,490.0,,2023-10-31 00:00:00.000,COD
372,503053,DRC-2023-1-11982-44.2,2023,1,DR Congo (Zaire),490,1,490.0,,2023-11-05 00:00:00.000,COD
373,503472,DRC-2023-1-11982-47,2023,1,DR Congo (Zaire),490,20,490.0,,2023-11-07 00:00:00.000,COD
374,499577,DRC-2023-1-11982-41,2023,1,DR Congo (Zaire),490,3,490.0,,2023-11-07 00:00:00.000,COD
375,501163,DRC-2023-1-11982-42,2023,1,DR Congo (Zaire),490,1,490.0,,2023-11-13 00:00:00.000,COD
376,502515,DRC-2023-1-11982-43,2023,1,DR Congo (Zaire),490,3,490.0,,2023-11-22 00:00:00.000,COD
377,501932,DRC-2023-1-15998-81,2023,1,DR Congo (Zaire),490,6,490.0,,2023-11-12 00:00:00.000,COD
378,502526,DRC-2023-1-15998-82,2023,1,DR Congo (Zaire),490,2,490.0,,2023-11-24 00:00:00.000,COD
379,503477,DRC-2023-1-15998-83,2023,1,DR Congo (Zaire),490,2,490.0,,2023-11-29 00:00:00.000,COD
380,502854,DRC-2023-3-16065-100,2023,3,DR Congo (Zaire),490,26,,,2023-09-21 00:00:00.000,COD
381,503475,DRC-2023-3-16065-101,2023,3,DR Congo (Zaire),490,1,,,2023-11-22 00:00:00.000,COD
382,502878,DRC-2023-2-17444-1,2023,2,DR Congo (Zaire),490,1,,,2023-11-28 00:00:00.000,COD
